No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	2	KH-2.54PH180-2X2P-L11.5	3v3,5v	HDR-TH_4P-P2.54-V-M-R2-C2-S2.54		KH-2.54PH180-2X2P-L11.5	kinghelm(金航标)	C19630931	LCSC
2	3	100nF	C1,C2,C4	C1206	100nF	CL31B104KBCNNNC	SAMSUNG(三星)	C24497	LCSC
3	1	33pF	C5	C1206	33pF	CGA1206C0G330J102JT	HRE(芯声)	C22374880	LCSC
4	2	10uF	C11,C12	C1206	10uF	CL31A106KBHNNNE	SAMSUNG(三星)	C13585	LCSC
5	4	100nF	C13,C14,C15,C16	C1206	100nF	1206B104K101NT	FH(风华)	C110255	LCSC
6	4	HOLE 3MM	H1,H2,H3,H4	HOLE_3MM					
7	1	BPW34	pd	SENSOR-TH_BPW34		BPW34	VISHAY(威世)	C85128	LCSC
8	3	1kΩ	R1,R2,R4	R1206	1kΩ	1206W4F1001T5E	UNI-ROYAL(厚声)	C4410	LCSC
9	1	1MΩ	R3	R1206	1MΩ	1206W4F1004T5E	UNI-ROYAL(厚声)	C17927	LCSC
10	1	47kΩ	R7	R1206	47kΩ	1206W4F4702T5E	UNI-ROYAL(厚声)	C25833	LCSC
11	1	SEEDUINO_XIAO_ESP32C3	U1	SEEDUINO_XIAO_ESP32C3					
12	1	TL082AD	U2	PDIP-8_L10.2-W6.5-P2.54-LS7.6-BL		TL082AD	Sungine(双竞集成)	C5274793	LCSC
13	1	OLED	U4	OLED					
14	1	2541FV-2x4P	U6	HDR-TH_8P-P2.54-V-F-R2-C4-S2.54		2541FV-2x4P	HanElectricity(瀚源)	C18723055	LCSC
