# ODMR_SWEEP_START
# Freq_MHz, OFF_sum, ON_sum, Contrast_%
2850.00, 700796, 693520, 1.0382
2850.50, 699678, 692630, 1.0073
2851.00, 701242, 693898, 1.0473
2851.50, 698540, 690913, 1.0918
2852.00, 699059, 692034, 1.0049
2852.50, 700572, 693526, 1.0057
2853.00, 699183, 691510, 1.0974
2853.50, 701910, 694484, 1.0580
2854.00, 699722, 692743, 0.9974
2854.50, 701314, 693955, 1.0493
2855.00, 701157, 694142, 1.0005
2855.50, 699819, 692807, 1.0020
2856.00, 700625, 693345, 1.0391
2856.50, 700729, 694189, 0.9333
2857.00, 700604, 693984, 0.9449
2857.50, 699597, 692563, 1.0054
2858.00, 701060, 694150, 0.9857
2858.50, 700693, 693299, 1.0552
2859.00, 698795, 691824, 0.9976
2859.50, 699051, 692226, 0.9763
2860.00, 699643, 691773, 1.1249
2860.50, 701627, 694291, 1.0456
2861.00, 699363, 691906, 1.0663
2861.50, 701869, 694859, 0.9988
2862.00, 699981, 692622, 1.0513
2862.50, 699354, 691703, 1.0940
2863.00, 699663, 692366, 1.0429
2863.50, 699529, 691598, 1.1338
2864.00, 700038, 692318, 1.1028
2864.50, 701419, 693419, 1.1405
2865.00, 699496, 691430, 1.1531
2865.50, 701302, 692102, 1.3118
2866.00, 700237, 691374, 1.2657
2866.50, 701296, 692346, 1.2762
2867.00, 699408, 689227, 1.4557
2867.50, 699400, 689108, 1.4715
2868.00, 699306, 687361, 1.7081
2868.50, 700680, 687870, 1.8282
2869.00, 700675, 685555, 2.1579
2869.50, 698972, 681067, 2.5616
2870.00, 699768, 680078, 2.8138
2870.50, 699282, 680001, 2.7573
2871.00, 701430, 684012, 2.4832
2871.50, 698709, 683722, 2.1450
2872.00, 699479, 686883, 1.8008
2872.50, 699434, 688075, 1.6240
2873.00, 698648, 688289, 1.4827
2873.50, 698317, 688205, 1.4481
2874.00, 701748, 692399, 1.3322
2874.50, 701296, 693107, 1.1677
2875.00, 701890, 693275, 1.2274
2875.50, 699257, 691161, 1.1578
2876.00, 698683, 690883, 1.1164
2876.50, 698663, 690561, 1.1596
2877.00, 699998, 691854, 1.1634
2877.50, 701898, 693865, 1.1445
2878.00, 701445, 694119, 1.0444
2878.50, 701743, 694296, 1.0612
2879.00, 699631, 692039, 1.0851
2879.50, 699495, 691728, 1.1104
2880.00, 701304, 694068, 1.0318
2880.50, 701763, 694456, 1.0412
2881.00, 699136, 692209, 0.9908
2881.50, 699853, 692977, 0.9825
2882.00, 699520, 691969, 1.0795
2882.50, 700489, 692758, 1.1037
2883.00, 698563, 691371, 1.0295
2883.50, 699291, 691732, 1.0810
2884.00, 701581, 694238, 1.0466
2884.50, 701878, 694899, 0.9943
2885.00, 701457, 694141, 1.0430
2885.50, 701458, 693740, 1.1003
2886.00, 701184, 694031, 1.0201
2886.50, 699636, 691948, 1.0989
2887.00, 701696, 695462, 0.8884
2887.50, 700999, 693573, 1.0593
2888.00, 701152, 693989, 1.0216
2888.50, 698698, 691701, 1.0014
2889.00, 700160, 693018, 1.0201
2889.50, 698001, 691612, 0.9153
2890.00, 698641, 691633, 1.0031
# ODMR_SWEEP_END
